date,indice,value
1970-05-04,00471X0095,69.08
1970-05-18,00471X0095,69.60
1970-06-09,00471X0095,70.08
1970-06-16,00471X0095,70.10
1970-06-23,00471X0095,70.02
1970-07-08,00471X0095,69.75
1970-07-21,00471X0095,69.36
1970-08-05,00471X0095,68.80
1970-08-19,00471X0095,68.28
1970-09-03,00471X0095,67.70
1970-09-17,00471X0095,67.14
1970-10-02,00471X0095,66.63
1970-10-16,00471X0095,66.10
1970-11-06,00471X0095,65.43
1970-11-20,00471X0095,65.06
1970-12-11,00471X0095,64.53
1970-12-31,00471X0095,64.14
1971-01-15,00471X0095,63.88
1971-01-30,00471X0095,63.66
1971-02-13,00471X0095,63.45
1971-02-27,00471X0095,63.33
1971-03-14,00471X0095,63.25
1971-03-28,00471X0095,63.21
1971-04-12,00471X0095,63.17
1971-04-26,00471X0095,63.10
1971-05-11,00471X0095,62.97
1971-05-25,00471X0095,62.83
1971-06-09,00471X0095,62.68
1971-06-23,00471X0095,62.54
1971-07-14,00471X0095,62.35
1971-07-27,00471X0095,62.21
1971-08-11,00471X0095,62.10
1971-08-25,00471X0095,61.98
1971-09-08,00471X0095,61.88
1971-09-22,00471X0095,61.75
1971-10-06,00471X0095,61.63
1971-10-20,00471X0095,61.51
1971-11-03,00471X0095,61.38
1971-11-17,00471X0095,61.26
1971-12-08,00471X0095,61.13
1971-12-29,00471X0095,61.04
1972-01-08,00471X0095,61.01
1972-01-22,00471X0095,60.96
1972-02-05,00471X0095,60.97
1972-02-19,00471X0095,61.00
1972-03-05,00471X0095,61.09
1972-03-19,00471X0095,61.28
1972-04-02,00471X0095,61.53
1972-04-16,00471X0095,61.73
1972-04-30,00471X0095,61.85
1972-05-14,00471X0095,61.94
1972-05-28,00471X0095,61.98
1972-06-11,00471X0095,61.98
1972-06-18,00471X0095,61.97
1972-07-03,00471X0095,61.90
1972-07-16,00471X0095,61.82
1972-07-30,00471X0095,61.71
1972-08-13,00471X0095,61.59
1972-08-27,00471X0095,61.42
1972-09-10,00471X0095,61.28
1972-09-24,00471X0095,61.13
1972-10-08,00471X0095,60.88
1972-10-22,00471X0095,60.74
1972-11-07,00471X0095,60.61
1972-11-21,00471X0095,60.53
1972-11-28,00471X0095,60.53
1972-12-05,00471X0095,60.56
1972-12-26,00471X0095,60.78
1973-01-08,00471X0095,60.97
1973-01-22,00471X0095,61.25
1973-02-05,00471X0095,61.43
1973-02-19,00471X0095,61.62
1973-03-05,00471X0095,62.01
1973-03-19,00471X0095,62.30
1973-04-09,00471X0095,62.67
1973-04-23,00471X0095,62.80
1973-05-07,00471X0095,62.87
1973-05-21,00471X0095,62.88
1973-05-28,00471X0095,62.87
1973-06-04,00471X0095,62.86
1973-06-26,00471X0095,62.83
1973-07-02,00471X0095,62.73
1973-07-15,00471X0095,62.61
1973-08-06,00471X0095,62.33
1973-08-20,00471X0095,62.08
1973-09-03,00471X0095,61.83
1973-09-17,00471X0095,61.57
1973-10-08,00471X0095,61.26
1973-10-22,00471X0095,61.06
1973-11-05,00471X0095,60.89
1973-11-19,00471X0095,60.70
1973-12-03,00471X0095,60.58
1973-12-19,00471X0095,60.53
1973-12-31,00471X0095,60.48
1974-01-08,00471X0095,60.47
1974-01-15,00471X0095,60.46
1974-01-22,00471X0095,60.47
1974-01-29,00471X0095,60.51
1974-02-12,00471X0095,60.76
1974-02-27,00471X0095,61.23
1974-03-13,00471X0095,61.61
1974-03-27,00471X0095,62.00
1974-04-10,00471X0095,62.35
1974-04-24,00471X0095,62.59
1974-05-08,00471X0095,62.91
1974-05-22,00471X0095,63.04
1974-06-05,00471X0095,63.07
1974-06-12,00471X0095,63.06
1974-06-19,00471X0095,63.04
1974-08-19,00471X0095,62.30
1974-09-09,00471X0095,61.99
1974-09-16,00471X0095,61.89
1974-10-02,00471X0095,62.06
1974-10-14,00471X0095,61.68
1974-10-23,00471X0095,61.81
1974-11-11,00471X0095,62.30
1974-11-25,00471X0095,63.07
1974-12-02,00471X0095,63.56
1974-12-16,00471X0095,64.51
1974-12-30,00471X0095,65.66
1975-01-08,00471X0095,66.66
1975-01-22,00471X0095,67.33
1975-02-05,00471X0095,68.09
1975-02-19,00471X0095,68.89
1975-03-05,00471X0095,69.26
1975-03-19,00471X0095,69.39
1975-04-09,00471X0095,69.47
1975-04-23,00471X0095,69.51
1975-05-07,00471X0095,69.59
1975-05-14,00471X0095,69.59
1975-05-21,00471X0095,69.55
1975-06-05,00471X0095,69.36
1975-06-18,00471X0095,69.06
1975-07-02,00471X0095,68.66
1975-07-16,00471X0095,68.21
1975-07-30,00471X0095,67.76
1975-08-13,00471X0095,67.24
1975-08-27,00471X0095,66.76
1975-09-10,00471X0095,66.24
1975-09-24,00471X0095,65.83
1975-10-08,00471X0095,65.47
1975-10-22,00471X0095,65.10
1975-11-06,00471X0095,64.80
1975-11-20,00471X0095,64.46
1975-12-04,00471X0095,64.25
1975-12-19,00471X0095,64.10
1975-12-31,00471X0095,63.93
1976-01-08,00471X0095,63.85
1976-01-22,00471X0095,63.79
1976-02-05,00471X0095,63.73
1976-02-19,00471X0095,63.64
1976-03-11,00471X0095,63.61
1976-03-18,00471X0095,63.63
1976-04-08,00471X0095,63.61
1976-04-22,00471X0095,63.58
1976-05-06,00471X0095,63.51
1976-05-20,00471X0095,63.34
1976-06-10,00471X0095,63.06
1976-06-25,00471X0095,62.85
1976-07-09,00471X0095,62.60
1976-07-30,00471X0095,62.26
1976-08-06,00471X0095,62.17
1976-08-20,00471X0095,61.94
1976-09-10,00471X0095,61.69
1976-09-24,00471X0095,61.51
1976-10-08,00471X0095,61.35
1976-10-22,00471X0095,61.22
1976-11-05,00471X0095,61.08
1976-11-26,00471X0095,60.83
1976-12-10,00471X0095,60.74
1976-12-24,00471X0095,60.66
1977-01-01,00471X0095,60.63
1977-01-08,00471X0095,60.59
1977-01-15,00471X0095,60.56
1977-01-22,00471X0095,60.56
1977-01-29,00471X0095,60.55
