<< La légende des termes est placée à la fin du fichier >>
Modélisation du bassin de la SOMME Nappe_Libre (hallue.rma) [V7.8.4]
Date	Date	Entr_Limit	Sort_Limit	Entr_Inject_fix	Sort_Pompag_fix	Réduct_Pompage	Désaturation	Débord/Suintem	Recharge_Maill	Évaporat_Maill	Excès_Irrigat	Stockage_Posit	Stockage_Négat	Rivière->Nappe	Nappe->Rivière	Éch_Phas_Posit	Éch_Phas_Négat	Drains->Nappe	Nappe->Drains	Lacs->Nappe	Nappe->Lacs	Transpir_Racin	Glob_Limites	Glob_Intern_fix	Glob_Stock	Glob_Riv_Nappe	Abs_Déb_Résid	Déb_Résid_Maxi	%_Non_Converg	d_BilQ_Global	d_BilQ<->QFixé	Glob_Drain_Napp	Glob_Lacs_Nappe	d_BilanVol_Pas	%_Non_CV_Gl_Pas	Nombre_Désatur	Nombre_Suintem	Nombre_Itérat	Nombre_Sous-pas	Nbre_Réduc_Pomp	
31/07/1995	   212.0000    	   192385.4    	  -10941.12    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -79599.67    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   116292.1    	  -218136.7    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181444.2    	   0.000000    	   0.000000    	  -101844.6    	   1.853752    	      0.0103966	  6.0054644E-04	     -0.0502599	     -0.0502599	   0.000000    	   0.000000    	     -0.0502599	  2.3040567E-05	   2.000000    	   7.000000    	   50.00000    	   1.000000    	   0.000000    	
01/08/1995	   213.0000    	   192385.4    	  -10941.12    	   0.000000    	  -625.1014    	   0.000000    	   0.000000    	  -79600.10    	  2.4322446E-10	   0.000000    	   0.000000    	  0.1437808    	  -556.3093    	   116307.4    	  -218082.6    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181444.3    	  -625.1014    	  -556.1655    	  -101775.2    	      0.0132001	  3.7798042E-04	  4.2684350E-06	     -0.0123539	     -0.0131984	   0.000000    	   0.000000    	     -0.0131938	  6.0520329E-06	   2.000000    	   7.000000    	   12.00000    	   1.000000    	   0.000000    	
02/08/1995	   214.0000    	   192385.5    	  -10941.12    	   0.000000    	  -625.1014    	   0.000000    	   0.000000    	  -79600.21    	  1.1621464E-09	   0.000000    	   0.000000    	      0.0605351	  -498.6764    	   116325.0    	  -218042.6    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181444.3    	  -625.1014    	  -498.6159    	  -101717.6    	      0.0012689	  2.1029288E-05	  4.1036598E-07	     -0.0012316	     -0.0012687	   0.000000    	   0.000000    	     -0.0012682	  5.8185416E-07	   2.000000    	   7.000000    	   15.00000    	   1.000000    	   0.000000    	
03/08/1995	   215.0000    	   192385.6    	  -10941.12    	   0.000000    	  -625.1014    	   0.000000    	   0.000000    	  -79600.10    	  7.5965995E-11	   0.000000    	   0.000000    	      0.0290892	  -455.8845    	   116340.5    	  -218015.6    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181444.5    	  -625.1014    	  -455.8555    	  -101675.2    	      0.0119101	  1.7926024E-04	  3.8521227E-06	     -0.0115133	     -0.0119082	   0.000000    	   0.000000    	     -0.0119040	  5.4620731E-06	   2.000000    	   7.000000    	   12.00000    	   1.000000    	   0.000000    	
04/08/1995	   216.0000    	   192385.9    	  -10941.11    	   0.000000    	  -625.1014    	   0.000000    	   0.000000    	  -79600.02    	  2.2523251E-10	   0.000000    	   0.000000    	      0.0114811	  -423.5660    	   116353.3    	  -217996.5    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181444.7    	  -625.1014    	  -423.5545    	  -101643.2    	      0.0053166	  7.5517118E-05	  1.7196613E-06	     -0.0051797	     -0.0053157	   0.000000    	   0.000000    	     -0.0053138	  2.4384116E-06	   2.000000    	   7.000000    	   13.00000    	   1.000000    	   0.000000    	
05/08/1995	   217.0000    	   192386.2    	  -10941.11    	   0.000000    	  -625.1014    	   0.000000    	   0.000000    	  -79599.95    	  1.5526383E-10	   0.000000    	   0.000000    	      0.0036033	  -398.1186    	   116364.0    	  -217982.1    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181445.1    	  -625.1014    	  -398.1150    	  -101618.1    	      0.0051441	  6.8192802E-05	  1.6639674E-06	     -0.0050258	     -0.0051432	   0.000000    	   0.000000    	     -0.0051414	  2.3594728E-06	   2.000000    	   7.000000    	   13.00000    	   1.000000    	   0.000000    	
06/08/1995	   218.0000    	   192386.4    	  -10941.11    	   0.000000    	  -625.1014    	   0.000000    	   0.000000    	  -79712.62    	   613.4220    	   0.000000    	   0.000000    	   448.2576    	  -347.7410    	   116361.1    	  -217981.5    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181445.3    	  -625.1014    	   100.5166    	  -101620.4    	  1.7078017E-04	  2.3057653E-06	  5.5204194E-08	 -6.6522945E-05	 -6.9428905E-05	   0.000000    	   0.000000    	 -6.9404466E-05	  3.1850824E-08	   2.000000    	   7.000000    	   17.00000    	   1.000000    	   0.000000    	
07/08/1995	   219.0000    	   192386.2    	  -10941.11    	   0.000000    	  -625.1014    	   0.000000    	   0.000000    	  -79845.89    	   1220.373    	   0.000000    	   0.000000    	   865.2272    	  -306.9716    	   116350.9    	  -217987.1    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181445.1    	  -625.1014    	   558.2557    	  -101636.2    	  1.0773145E-04	  1.8233818E-06	  3.4756849E-08	  2.0922453E-05	  1.9906380E-05	   0.000000    	   0.000000    	  1.9899373E-05	  9.1319065E-09	   2.000000    	   7.000000    	   18.00000    	   1.000000    	   0.000000    	
08/08/1995	   220.0000    	   192385.5    	  -10941.13    	   0.000000    	  -625.1014    	   0.000000    	   0.000000    	  -79881.70    	   1210.724    	   0.000000    	   0.000000    	   780.3806    	  -271.8047    	   116346.7    	  -217986.5    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181444.4    	  -625.1014    	   508.5759    	  -101639.8    	  9.9072404E-05	  1.5878970E-06	  3.1964719E-08	  2.3704852E-05	  2.2874287E-05	   0.000000    	   0.000000    	  2.2866235E-05	  1.0493443E-08	   2.000000    	   7.000000    	   18.00000    	   1.000000    	   0.000000    	
09/08/1995	   221.0000    	   192384.5    	  -10941.16    	   0.000000    	  -625.1014    	   0.000000    	   0.000000    	  -79907.51    	   1201.152    	   0.000000    	   0.000000    	   710.7972    	  -241.2046    	   116343.2    	  -217985.5    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   181443.3    	  -625.1014    	   469.5926    	  -101642.3    	  1.9753266E-05	  3.0520025E-07	  6.3734842E-09	  5.3061231E-06	  5.1694515E-06	   0.000000    	   0.000000    	  5.1676318E-06	  2.3714660E-09	   2.000000    	   7.000000    	   20.00000    	   1.000000    	   0.000000    	
